"Timestamp","เพศ","ช่วงอายุ","แนวเกม","เกมที่เล่น #1","เกมที่เล่น #2","Platform ที่เล่นบ่อยที่สุด"
"2018/11/14 10:57:40 PM GMT+7","ชาย","ต่ำกว่า 9 ปี","Adventure;Arcade;RPG;Puzzle;Music","Rov","Pubg","Mobile"
"2018/11/14 11:02:29 PM GMT+7","หญิง","16 - 22ปี","MOBA;Other","Line pop","Cand6 crush saga","Mobile"
"2018/11/15 6:23:09 AM GMT+7","หญิง","16 - 22ปี","Action;Adventure","Rov","pubg","Mobile"
"2018/11/15 6:23:17 AM GMT+7","หญิง","16 - 22ปี","Action;Adventure;Arcade;RPG;Racing;Music;MOBA","I-DENTITY V","PUBG ","Mobile"
"2018/11/15 6:25:56 AM GMT+7","ชาย","16 - 22ปี","MOBA","rov","rov","Mobile"
"2018/11/15 6:26:53 AM GMT+7","หญิง","16 - 22ปี","Adventure;RPG","Freefire","Hayday","Mobile"
"2018/11/15 6:27:25 AM GMT+7","หญิง","16 - 22ปี","Action","Rov","Free fire","Mobile"
"2018/11/15 6:27:31 AM GMT+7","ชาย","16 - 22ปี","Action","ROV","PUB G","Mobile"
"2018/11/15 6:29:27 AM GMT+7","หญิง","16 - 22ปี","Action;Adventure;Sports;Music","Pubg","Asphalt 8","Mobile"
"2018/11/15 6:30:02 AM GMT+7","หญิง","16 - 22ปี","Music","Piano tap","Thapster","Mobile"
"2018/11/15 6:42:47 AM GMT+7","หญิง","16 - 22ปี","Other","Get Rich","Find the Difference 500","Mobile"
"2018/11/15 6:43:04 AM GMT+7","หญิง","16 - 22ปี","RPG","แคนดี้ สตาร์เกิล เกมเศรษฐี","แววูฟ rov พับจี","Mobile"
"2018/11/15 6:43:54 AM GMT+7","หญิง","16 - 22ปี","Action;MOBA","Rov ","Freefire ","Mobile"
"2018/11/15 6:45:01 AM GMT+7","หญิง","9 - 15ปี","Music","Superstar jyp","Magic Tiles3","Mobile"
"2018/11/15 6:47:59 AM GMT+7","หญิง","16 - 22ปี","Action;Adventure","PUBG ","ROV ","Mobile"
"2018/11/15 7:04:19 AM GMT+7","หญิง","16 - 22ปี","RPG;Puzzle;Music;MOBA","stardew valley","assassin's creed","PC"
"2018/11/15 7:09:10 AM GMT+7","หญิง","23 - 29ปี","RPG;Puzzle;Music","เกมต่อบล๊อก","LataleW","Mobile"
"2018/11/15 12:19:28 PM GMT+7","หญิง","16 - 22ปี","RPG;MOBA;Other","หมากรุก","ROV","Mobile"
"2018/11/16 11:59:14 AM GMT+7","หญิง","16 - 22ปี","Puzzle","Mobile","Puzzle","Mobile"
"2018/11/16 11:59:49 AM GMT+7","หญิง","16 - 22ปี","Sports;MOBA;Other","Pubg","Newz","PC"
"2018/11/16 12:12:37 PM GMT+7","หญิง","16 - 22ปี","Action;Adventure;RPG;MOBA;Other","Identity V","Mystic Massenger","Mobile"
"2018/11/16 3:36:24 PM GMT+7","หญิง","16 - 22ปี","RPG;MOBA","ROV","Hon","Mobile"
"2018/11/16 4:00:49 PM GMT+7","หญิง","16 - 22ปี","Action;Adventure;Arcade;Racing","PUBG","Crash of cars","Mobile"
"2018/11/17 4:55:07 PM GMT+7","ชาย","16 - 22ปี","Action;Adventure;Arcade;RPG;MOBA","Assassin's Creed","Grand Theft Auto V","PC"
"2018/11/20 10:01:34 AM GMT+7","หญิง","16 - 22ปี","Adventure","Rov","Pubg","Mobile"
"2018/11/23 7:57:15 PM GMT+7","ชาย","16 - 22ปี","Action;RPG;Music;MOBA","ROV","PUBG","Mobile"
"2018/11/23 7:59:46 PM GMT+7","หญิง","16 - 22ปี","Other","ไฮโลไทย","Candy crash soda","Mobile"
"2018/11/23 7:59:58 PM GMT+7","หญิง","16 - 22ปี","Puzzle;Music","คุกกี้รัน","เกมเศรษฐี","Mobile"
"2018/11/23 8:01:03 PM GMT+7","ชาย","16 - 22ปี","Adventure;RPG;MOBA","maplestory","stardewvarly","PC"
"2018/11/23 8:03:17 PM GMT+7","หญิง","16 - 22ปี","Adventure;RPG","Man or vampire","Eden","Mobile"
"2018/11/23 8:04:55 PM GMT+7","หญิง","16 - 22ปี","Adventure;Other","The Sims","I love coffee","Mobile"
"2018/11/23 8:05:39 PM GMT+7","ชาย","16 - 22ปี","Action;Adventure;Arcade;Puzzle","Tales Runner","Payday 2","PC"
"2018/11/23 8:09:51 PM GMT+7","หญิง","16 - 22ปี","Action;Adventure;MOBA","Rov","Hay day","Mobile"
"2018/11/23 8:10:30 PM GMT+7","ชาย","16 - 22ปี","Action","pubg mobile","hon","PC"
"2018/11/23 8:14:29 PM GMT+7","หญิง","16 - 22ปี","Sports","Fifa","Fifa","PC"
"2018/11/23 8:14:47 PM GMT+7","หญิง","16 - 22ปี","Action;Adventure;Sports;Music","ปลูกฟาร์ม ทำอาหาร แต่งตัว","Pubg","Mobile"
"2018/11/23 8:18:51 PM GMT+7","ชาย","16 - 22ปี","RPG;Puzzle","Stardew Valley","Harry Potter Hogwarts Mystery","Mobile"
"2018/11/23 8:19:15 PM GMT+7","ไม่ต้องการระบุ","16 - 22ปี","Action","Rov","Let’s farm","Mobile"
"2018/11/23 8:19:38 PM GMT+7","ชาย","30 ปี ขึ้นไป","Action;Adventure;Arcade;RPG;Racing","Artificial Girl 18+นะอิอิเพราะข้าคือไอหื่น","Honey Select 18+นะอิอิเพราะข้าคือไอหื่น","PC"
"2018/11/23 8:20:29 PM GMT+7","หญิง","16 - 22ปี","Puzzle;Music;Other","2048","Piano","Mobile"
"2018/11/23 8:20:53 PM GMT+7","ชาย","16 - 22ปี","Action","Rov","Pub g","Mobile"
"2018/11/23 8:31:00 PM GMT+7","ชาย","16 - 22ปี","RPG;Racing;MOBA","Rpg ","Moba ","PC"
"2018/11/23 8:37:29 PM GMT+7","ชาย","16 - 22ปี","MOBA","Lol","Rov","Mobile"
"2018/11/23 8:37:38 PM GMT+7","ชาย","16 - 22ปี","Action;Adventure;Arcade;MOBA","LOL","Overwatch","PC"
"2018/11/23 8:39:44 PM GMT+7","ชาย","16 - 22ปี","RPG;MOBA","Ro","Lol","PC"
"2018/11/23 8:40:30 PM GMT+7","ชาย","9 - 15ปี","Action;Adventure;Arcade;Card;RPG;Racing;Puzzle;Sports;Music;MOBA;Other","LoL ","Tema ForTread 2","PC"
"2018/11/23 8:40:57 PM GMT+7","ชาย","23 - 29ปี","Action;Card;Puzzle;MOBA","DOTA2","ETC","PC"
"2018/11/23 8:41:07 PM GMT+7","ชาย","23 - 29ปี","Action;Racing;MOBA","League of legend","Grand Theft Auto V","PC"
"2018/11/23 8:42:25 PM GMT+7","ชาย","16 - 22ปี","Action;Adventure;Card;RPG;Music","Talesrunner","pubg","PC"
"2018/11/23 8:43:24 PM GMT+7","ชาย","16 - 22ปี","Action;Adventure;RPG;Music;MOBA","League of Legends","OSU!","PC"
"2018/11/23 8:43:56 PM GMT+7","ชาย","9 - 15ปี","RPG;MOBA","Black desert","League of legend","Mobile"
"2018/11/23 8:44:28 PM GMT+7","ชาย","16 - 22ปี","Action;Arcade;Card;Music;MOBA;Other","LOL","Pubg","PC"
"2018/11/23 8:44:46 PM GMT+7","ชาย","16 - 22ปี","Action;Adventure;RPG;MOBA","league of legends","Fortnite","PC"
"2018/11/23 8:47:15 PM GMT+7","ชาย","16 - 22ปี","Action;Adventure;Arcade;Card;RPG;Racing;Puzzle;Sports;Music;MOBA;Other","league of legends","destiny 2","PC"
"2018/11/23 8:48:10 PM GMT+7","ชาย","9 - 15ปี","Sports","Pes2019","Fifa2019","PC"
"2018/11/23 8:48:25 PM GMT+7","ชาย","16 - 22ปี","Action;Adventure;RPG;Racing;MOBA","League of legends","Brown dust (mobile game)","PC"
"2018/11/23 8:48:47 PM GMT+7","ชาย","23 - 29ปี","MOBA","lol","ros","PC"
"2018/11/23 8:49:35 PM GMT+7","หญิง","23 - 29ปี","MOBA;Other","league of legends","Hayday","PC"
"2018/11/23 8:50:10 PM GMT+7","ชาย","16 - 22ปี","MOBA","leagug of legends","tales runner","PC"
"2018/11/23 8:52:30 PM GMT+7","ชาย","16 - 22ปี","Action;Adventure;RPG;MOBA","LOL","Pokemon UltraSun","PC"
"2018/11/23 8:52:45 PM GMT+7","ชาย","23 - 29ปี","Action;Adventure;RPG;Racing;MOBA;Other","Pokemon","Zelda","Consoles"
"2018/11/23 8:53:58 PM GMT+7","ชาย","16 - 22ปี","Action;Sports","rov","pubg","Mobile"
"2018/11/23 8:54:41 PM GMT+7","หญิง","16 - 22ปี","MOBA;Other","lol","lol","PC"
"2018/11/23 8:55:26 PM GMT+7","ชาย","9 - 15ปี","Action;Adventure;RPG;Puzzle;MOBA","Talesrunner","Darkness rises","Mobile"
"2018/11/23 8:55:34 PM GMT+7","ชาย","16 - 22ปี","RPG;MOBA","LOL","Black desert ","PC"
"2018/11/23 8:55:36 PM GMT+7","หญิง","9 - 15ปี","MOBA","LOL","FIFA","PC"
"2018/11/23 8:57:06 PM GMT+7","ชาย","16 - 22ปี","Action;Adventure;RPG;Racing;MOBA","LOL","ROV","Mobile"
